begin_general_information-owner,begin_general_information-kiln_name,begin_general_information-kiln_id,begin_general_information-address,begin_general_information-geopoint-Latitude,begin_general_information-geopoint-Longitude,begin_general_information-geopoint-Altitude,begin_general_information-geopoint-Accuracy
Md. Amirul Islam,2 Star Bricks,13,"Chougacha road, Churamonkathi bazar, Sadar, Jashore",23.222767,89.1571235,-82.94518546,39.392
Mohammad Selim Reza,Fine Bricks,11,"Jirat, Rupdia bazar, jashore",23.1198393,89.2907262,-48.29999924,16.479
Md. Hasan Jamal,M/S Sohag bricks manufacturing company,21,"Bijoyrampur, Monirampur, Jashore",23.0107361,89.2149434,-58.28964233,7.091
Abdul malek biswas,Biswas bricks,25,"Pachpota, Monirampur",22.9859753,89.0885551,-46.46472168,4.233
Md. Hasan Jamal,M/S Sohag,16,"Mandartola, Rajgonj Road, Monirampur",23.0111496,89.215458,-53.24206543,5.208
Anwarul Ialam Mintu,M/S Doctor Bricks,30,"Kaudia mouja,Hoibetpur union,jashore",23.2873156,89.1727388,-50.01699829,4.48
Alhaj Abdul khalek,Messars star bricks,10,"Agorhati,monirampur jessore",22.9793799,89.2293546,-52.39999771,8.666
Abu Hasan Mollah,Messars shona bricks,7,"Narandrapur,Mollapara,Jessore",23.097718,89.2929373,-49.77209473,5.071
Abdur Rashid Biswash,Bhai Bhai Bricks,1,"Lebutola, Kaudia bazar, Jessore",23.2899546,89.1828947,-47.89999771,4.288
Kazi Nazir Ahmed(Munnu),Bhairab bricks 2,9,"kanaitola, Monirampur road, jessore",23.1238659,89.2465008,-58.59999847,7.002
Mohammad Abdus Salam,Mesars Saudi Bricks,2,"Telidhannopura, Khajura,  Jessore",23.2746708,89.2557211,-32.88583374,3.79
AM jamal Uddin,Mesars Doller Bricks,26,"Munshefpur, Rupdia bazar, jessore",23.1370421,89.2957701,-57.16189575,4.895
Mohammad Babar Ali,Messers Boss Bricks,27,"Chaulia mor, Rupdia, Jessore",23.1268966,89.2756982,-43.61425781,4.803
Monowarul Islam,Happy Bricks,29,"Goherpur, khajura, jashore",23.2726677,89.2468639,-48.79999924,11.713
Kamrul Islam Tutun,New Islam Bricks,19,"Karimpur, Bagherpara, Jessore",23.1831813,89.3888536,-46.79999924,4.288
Md. Arifuzzaman,M/S Kabir Bricks,6,"Ulashi, Sharsha, Jashore",23.0365681,88.9973003,-61.87374878,3.79
Md Sadiur Rahman,New Sony Bricks,22,"Satighata, Sadar, Jessore",23.1092477,89.2526291,-58.74182129,4.288
Abu Bakar Siddik,Mesars Roman Bricks,28,"Baruihati Chourasta mor, Keshabpur, Jessore",22.868498,89.1643702,-31.65722656,4.929
AKM Shamsuddin Haider (Bablu),New Super Bricks,23,"Kesmot Mahmudpur, Bagharpara, Jashore",23.1635304,89.3619627,-46.96796085,2900
Aslam,Messrs Aslam Bricks,20,"Rajgong road, bagerhat bazar, Sadar",23.1083641,89.1690541,-46.59617728,132.249
Md Saiful Islam,Mesars Alam Bricks,17,"Saathbaria, keshobpur, Jessore",22.9099203,89.1490589,-40.31973267,4.381
Md. Tota Mia,MessrsTota Bricks,32,"Dogachiya, Sadar, Jeshore",23.231619,89.1236976,-49.20039937,2900
Anwarul Kabir,"Prime Bricks(Navaron, Sharsha)",18,"Navaron Kamar Bari mor, sharsha",23.0479775,88.9984822,-46.39999771,3.962
Md. Shahidul Islam,Shahid Bricks,15,"Sathmaail, Jhenaidah Road, Sadar",23.2636873,89.162418,-62.93342009,6.648
Md. Golam Mostofa Shikder,M/S. Shikder Bricks,4,"Narikelbaria road, Bagharpara, Jashore",23.2330065,89.3314412,-14.09370694,200
Hazi Kausar,Reza Bricks,24,"Narail road, Dutta rasta, Bagharpara, Jashore",23.1893065,89.3696666,-47.85042586,4.299
Anwarul Islam,Gold bricks,31,"Kuchiamora, Ulashi, Sharsha",23.0004781,88.9993041,0,2521
Abdul Malek Biswas,City Bricks,12,"Kochua, Rupdia Bazar, Jadhore Sadar",23.1333841,89.2762659,-50.55506346,1100
Md. Jahangir Alam,Prime Bricks,5,"Bhatpara, Rajarhat, Jessore",23.1149596,89.252539,-62.4520874,3.567
Md. Akram Ali,AR Bricks,3,"Kagojpur, Sharsha, Benapole, Jessore",23.054592,88.9261282,-57.333151,7.171
Enamul Haque Shahin,Mesars Joint Bricks,8,"Kashempur, Monirampur, Jessore",23.0800565,89.1159085,-45,5
Sabera Kabir,FK Bricks,14,"Baisha, Navaron, Jhikargacha",23.0494442,89.0324297,,
